product,category,review
iPhone 15,Electronics,Absolutely love this phone the camera is incredible
Samsung TV,Electronics,Picture quality is amazing best TV I have ever owned
Laptop Pro,Electronics,Battery dies too fast very disappointing purchase
Headphones,Electronics,Sound quality is terrible complete waste of money
Smart Watch,Electronics,Best gadget I have bought in years highly recommend
Python Book,Books,This book taught me programming in a clear simple way
AI Handbook,Books,Confusing explanations hard to follow not worth buying
Data Science,Books,Excellent examples and projects helped me get a job
ML Guide,Books,Too theoretical no practical examples very boring
Deep Learning,Books,Perfect balance of theory and practice loved it
Pizza Place,Food,Best pizza in the city fresh ingredients amazing taste
Burger Joint,Food,Cold food slow service never coming back again
Sushi Bar,Food,Fresh fish beautiful presentation worth every penny
Taco Shop,Food,Bland tasteless food nothing special at all
Coffee Shop,Food,Perfect coffee cozy atmosphere my favorite place